,state_abbr,saidi,saifi,saidi_hrs,interruption_duration_hrs,sector,sector_abbr,interruption_cost_per_event_usd,interruption_cost_per_average_kw_usd,interruption_cost_per_unserved_kwh_usd,value_of_resiliency_usd
0,AL,288.1433002,1.469826661,4.802388337,4,Small_C&I,com,1880.0,857.1,214.3,2763.274124
1,AL,288.1433002,1.469826661,4.802388337,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,57996.42041
2,AL,288.1433002,1.469826661,4.802388337,4,Residential,res,9.5,6.2,1.6,13.96335328
3,AR,322.8802448,1.724854848,5.381337414,4,Small_C&I,com,1880.0,857.1,214.3,3242.7271140000003
4,AR,322.8802448,1.724854848,5.381337414,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,68059.32259
5,AR,322.8802448,1.724854848,5.381337414,4,Residential,res,9.5,6.2,1.6,16.38612106
6,AZ,114.64004890000001,0.930223413,1.910667481,1,Small_C&I,com,647.0,295.0,295.0,601.8545479
7,AZ,114.64004890000001,0.930223413,1.910667481,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,16561.697640000002
8,AZ,114.64004890000001,0.930223413,1.910667481,1,Residential,res,5.1,3.3,3.3,4.744139403999999
9,CA,195.0623659,0.9538808240000001,3.251039432,1,Small_C&I,com,647.0,295.0,295.0,617.1608928999999
10,CA,195.0623659,0.9538808240000001,3.251039432,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,16982.894180000003
11,CA,195.0623659,0.9538808240000001,3.251039432,1,Residential,res,5.1,3.3,3.3,4.8647922
12,CO,113.28555190000002,0.959261329,1.8880925309999999,1,Small_C&I,com,647.0,295.0,295.0,620.64208
13,CO,113.28555190000002,0.959261329,1.8880925309999999,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,17078.6887
14,CO,113.28555190000002,0.959261329,1.8880925309999999,1,Residential,res,5.1,3.3,3.3,4.8922327789999995
15,CT,655.5375747,1.254683268,10.92562625,8,Small_C&I,com,4690.0,2138.1,267.3,5884.464528
16,CT,655.5375747,1.254683268,10.92562625,8,Medium_and_Large_C&I,ind,84083.0,103.2,12.9,105497.5332
17,CT,655.5375747,1.254683268,10.92562625,8,Residential,res,17.2,11.3,1.4,21.58055221
18,DC,109.24,0.64,1.8206666669999998,1,Small_C&I,com,647.0,295.0,295.0,414.08
19,DC,109.24,0.64,1.8206666669999998,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,11394.56
20,DC,109.24,0.64,1.8206666669999998,1,Residential,res,5.1,3.3,3.3,3.264
21,DE,135.91023859999999,1.031949372,2.265170644,1,Small_C&I,com,647.0,295.0,295.0,667.6712436
22,DE,135.91023859999999,1.031949372,2.265170644,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,18372.82662
23,DE,135.91023859999999,1.031949372,2.265170644,1,Residential,res,5.1,3.3,3.3,5.262941796000001
24,FL,309.2305987,1.130814885,5.153843311,4,Small_C&I,com,1880.0,857.1,214.3,2125.931984
25,FL,309.2305987,1.130814885,5.153843311,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,44619.693739999995
26,FL,309.2305987,1.130814885,5.153843311,4,Residential,res,9.5,6.2,1.6,10.74274141
27,GA,373.2132513,1.53769739,6.220220856,4,Small_C&I,com,1880.0,857.1,214.3,2890.8710920000003
28,GA,373.2132513,1.53769739,6.220220856,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,60674.4636
29,GA,373.2132513,1.53769739,6.220220856,4,Residential,res,9.5,6.2,1.6,14.608125199999998
30,IA,126.7666205,1.01613061,2.112777008,1,Small_C&I,com,647.0,295.0,295.0,657.4365048999999
31,IA,126.7666205,1.01613061,2.112777008,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,18091.18939
32,IA,126.7666205,1.01613061,2.112777008,1,Residential,res,5.1,3.3,3.3,5.182266113
33,ID,174.1053125,1.175369011,2.901755208,1,Small_C&I,com,647.0,295.0,295.0,760.4637502
34,ID,174.1053125,1.175369011,2.901755208,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,20926.26987
35,ID,174.1053125,1.175369011,2.901755208,1,Residential,res,5.1,3.3,3.3,5.994381957000001
36,IL,142.7477705,0.913795384,2.379129508,1,Small_C&I,com,647.0,295.0,295.0,591.2256136
37,IL,142.7477705,0.913795384,2.379129508,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,16269.21302
38,IL,142.7477705,0.913795384,2.379129508,1,Residential,res,5.1,3.3,3.3,4.66035646
39,IN,285.43131969999996,1.4398991190000001,4.757188661,4,Small_C&I,com,1880.0,857.1,214.3,2707.0103440000003
40,IN,285.43131969999996,1.4398991190000001,4.757188661,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,56815.53945
41,IN,285.43131969999996,1.4398991190000001,4.757188661,4,Residential,res,9.5,6.2,1.6,13.67904163
42,KS,154.8482742,1.08118552,2.580804569,1,Small_C&I,com,647.0,295.0,295.0,699.5270316000001
43,KS,154.8482742,1.08118552,2.580804569,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,19249.427
44,KS,154.8482742,1.08118552,2.580804569,1,Residential,res,5.1,3.3,3.3,5.514046153
45,KY,406.2112375,1.785057836,6.770187292,4,Small_C&I,com,1880.0,857.1,214.3,3355.908732
46,KY,406.2112375,1.785057836,6.770187292,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,70434.81211
47,KY,406.2112375,1.785057836,6.770187292,4,Residential,res,9.5,6.2,1.6,16.95804945
48,LA,276.0247683,2.0939240630000002,4.600412803999999,4,Small_C&I,com,1880.0,857.1,214.3,3936.577239
49,LA,276.0247683,2.0939240630000002,4.600412803999999,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,82622.05569
50,LA,276.0247683,2.0939240630000002,4.600412803999999,4,Residential,res,9.5,6.2,1.6,19.8922786
51,MA,813.3055559999999,1.552297675,13.5550926,8,Small_C&I,com,4690.0,2138.1,267.3,7280.276098
52,MA,813.3055559999999,1.552297675,13.5550926,8,Medium_and_Large_C&I,ind,84083.0,103.2,12.9,130521.8454
53,MA,813.3055559999999,1.552297675,13.5550926,8,Residential,res,17.2,11.3,1.4,26.69952002
54,MD,337.14819439999997,1.298152948,5.619136574,4,Small_C&I,com,1880.0,857.1,214.3,2440.527543
55,MD,337.14819439999997,1.298152948,5.619136574,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,51222.51904
56,MD,337.14819439999997,1.298152948,5.619136574,4,Residential,res,9.5,6.2,1.6,12.33245301
57,ME,665.3229312999999,2.801059875,11.08871552,8,Small_C&I,com,4690.0,2138.1,267.3,13136.970809999999
58,ME,665.3229312999999,2.801059875,11.08871552,8,Medium_and_Large_C&I,ind,84083.0,103.2,12.9,235521.5175
59,ME,665.3229312999999,2.801059875,11.08871552,8,Residential,res,17.2,11.3,1.4,48.17822985
60,MI,442.8640495,1.3765811769999998,7.381067492000001,4,Small_C&I,com,1880.0,857.1,214.3,2587.972613
61,MI,442.8640495,1.3765811769999998,7.381067492000001,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,54317.14008
62,MI,442.8640495,1.3765811769999998,7.381067492000001,4,Residential,res,9.5,6.2,1.6,13.07752118
63,MN,127.2572814,1.01364861,2.12095469,1,Small_C&I,com,647.0,295.0,295.0,655.8306506
64,MN,127.2572814,1.01364861,2.12095469,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,18046.99985
65,MN,127.2572814,1.01364861,2.12095469,1,Residential,res,5.1,3.3,3.3,5.169607911
66,MO,149.60362419999998,0.943995464,2.493393737,1,Small_C&I,com,647.0,295.0,295.0,610.7650655
67,MO,149.60362419999998,0.943995464,2.493393737,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,16806.89525
68,MO,149.60362419999998,0.943995464,2.493393737,1,Residential,res,5.1,3.3,3.3,4.814376868
69,MS,267.5128586,1.51629419,4.458547643,4,Small_C&I,com,1880.0,857.1,214.3,2850.633077
70,MS,267.5128586,1.51629419,4.458547643,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,59829.93615
71,MS,267.5128586,1.51629419,4.458547643,4,Residential,res,9.5,6.2,1.6,14.40479481
72,MT,142.6817956,1.221316089,2.378029926,1,Small_C&I,com,647.0,295.0,295.0,790.1915098
73,MT,142.6817956,1.221316089,2.378029926,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,21744.31166
74,MT,142.6817956,1.221316089,2.378029926,1,Residential,res,5.1,3.3,3.3,6.228712056
75,NC,1761.5137780000002,2.123605548,29.35856296,16,Small_C&I,com,9055.0,4128.3,258.0,19229.24824
76,NC,1761.5137780000002,2.123605548,29.35856296,16,Medium_and_Large_C&I,ind,165482.0,203.0,12.7,351418.4933
77,NC,1761.5137780000002,2.123605548,29.35856296,16,Residential,res,32.4,21.2,1.3,68.80481976
78,ND,94.42881908,0.896148238,1.573813651,1,Small_C&I,com,647.0,295.0,295.0,579.8079101
79,ND,94.42881908,0.896148238,1.573813651,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,15955.02323
80,ND,94.42881908,0.896148238,1.573813651,1,Residential,res,5.1,3.3,3.3,4.570356015
81,NE,188.1789986,1.027991557,3.136316644,1,Small_C&I,com,647.0,295.0,295.0,665.1105376
82,NE,188.1789986,1.027991557,3.136316644,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,18302.36169
83,NE,188.1789986,1.027991557,3.136316644,1,Residential,res,5.1,3.3,3.3,5.242756942
84,NH,508.83746229999997,2.170419791,8.480624372000001,8,Small_C&I,com,4690.0,2138.1,267.3,10179.268820000001
85,NH,508.83746229999997,2.170419791,8.480624372000001,8,Medium_and_Large_C&I,ind,84083.0,103.2,12.9,182495.4073
86,NH,508.83746229999997,2.170419791,8.480624372000001,8,Residential,res,17.2,11.3,1.4,37.3312204
87,NJ,509.72695,1.4184317359999998,8.495449166,8,Small_C&I,com,4690.0,2138.1,267.3,6652.444844
88,NJ,509.72695,1.4184317359999998,8.495449166,8,Medium_and_Large_C&I,ind,84083.0,103.2,12.9,119265.9957
89,NJ,509.72695,1.4184317359999998,8.495449166,8,Residential,res,17.2,11.3,1.4,24.39702587
90,NM,138.291437,1.095604128,2.304857283,1,Small_C&I,com,647.0,295.0,295.0,708.8558707000001
91,NM,138.291437,1.095604128,2.304857283,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,19506.13589
92,NM,138.291437,1.095604128,2.304857283,1,Residential,res,5.1,3.3,3.3,5.587581052000001
93,NV,126.16014150000001,0.9762948440000001,2.102669025,1,Small_C&I,com,647.0,295.0,295.0,631.6627642999999
94,NV,126.16014150000001,0.9762948440000001,2.102669025,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,17381.95341
95,NV,126.16014150000001,0.9762948440000001,2.102669025,1,Residential,res,5.1,3.3,3.3,4.979103706
96,NY,405.51066529999997,1.006590501,6.758511089,4,Small_C&I,com,1880.0,857.1,214.3,1892.3901420000002
97,NY,405.51066529999997,1.006590501,6.758511089,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,39718.04798
98,NY,405.51066529999997,1.006590501,6.758511089,4,Residential,res,9.5,6.2,1.6,9.562609757999999
99,OH,242.0385486,1.396145275,4.03397581,4,Small_C&I,com,1880.0,857.1,214.3,2624.753117
100,OH,242.0385486,1.396145275,4.03397581,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,55089.10026
101,OH,242.0385486,1.396145275,4.03397581,4,Residential,res,9.5,6.2,1.6,13.26338011
102,OK,175.57460780000002,1.326165421,2.9262434639999997,1,Small_C&I,com,647.0,295.0,295.0,858.0290276000001
103,OK,175.57460780000002,1.326165421,2.9262434639999997,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,23611.04916
104,OK,175.57460780000002,1.326165421,2.9262434639999997,1,Residential,res,5.1,3.3,3.3,6.763443649
105,OR,113.0656896,0.9042405490000001,1.884428159,1,Small_C&I,com,647.0,295.0,295.0,585.0436354
106,OR,113.0656896,0.9042405490000001,1.884428159,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,16099.098740000001
107,OR,113.0656896,0.9042405490000001,1.884428159,1,Residential,res,5.1,3.3,3.3,4.611626801
108,PA,518.0468341,1.43169915,8.634113901000001,8,Small_C&I,com,4690.0,2138.1,267.3,6714.669011
109,PA,518.0468341,1.43169915,8.634113901000001,8,Medium_and_Large_C&I,ind,84083.0,103.2,12.9,120381.5596
110,PA,518.0468341,1.43169915,8.634113901000001,8,Residential,res,17.2,11.3,1.4,24.62522537
111,RI,594.78,1.57,9.913,8,Small_C&I,com,4690.0,2138.1,267.3,7363.3
112,RI,594.78,1.57,9.913,8,Medium_and_Large_C&I,ind,84083.0,103.2,12.9,132010.31
113,RI,594.78,1.57,9.913,8,Residential,res,17.2,11.3,1.4,27.004
114,SC,470.2865092,1.6010309280000001,7.838108486,4,Small_C&I,com,1880.0,857.1,214.3,3009.938144
115,SC,470.2865092,1.6010309280000001,7.838108486,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,63173.47835
116,SC,470.2865092,1.6010309280000001,7.838108486,4,Residential,res,9.5,6.2,1.6,15.20979381
117,SD,92.10338348,1.0280944090000002,1.535056391,1,Small_C&I,com,647.0,295.0,295.0,665.1770828
118,SD,92.10338348,1.0280944090000002,1.535056391,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,18304.19286
119,SD,92.10338348,1.0280944090000002,1.535056391,1,Residential,res,5.1,3.3,3.3,5.243281488
120,TN,199.7510625,1.830403665,3.329184376,1,Small_C&I,com,647.0,295.0,295.0,1184.271171
121,TN,199.7510625,1.830403665,3.329184376,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,32588.50685
122,TN,199.7510625,1.830403665,3.329184376,1,Residential,res,5.1,3.3,3.3,9.335058691
123,TX,167.23896330000002,1.341851785,2.787316055,1,Small_C&I,com,647.0,295.0,295.0,868.1781049000001
124,TX,167.23896330000002,1.341851785,2.787316055,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,23890.32918
125,TX,167.23896330000002,1.341851785,2.787316055,1,Residential,res,5.1,3.3,3.3,6.843444104
126,UT,125.3266325,0.9758233390000001,2.088777208,1,Small_C&I,com,647.0,295.0,295.0,631.3577002000001
127,UT,125.3266325,0.9758233390000001,2.088777208,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,17373.558719999997
128,UT,125.3266325,0.9758233390000001,2.088777208,1,Residential,res,5.1,3.3,3.3,4.9766990280000005
129,VA,507.34924639999997,1.812316104,8.455820774,8,Small_C&I,com,4690.0,2138.1,267.3,8499.762528
130,VA,507.34924639999997,1.812316104,8.455820774,8,Medium_and_Large_C&I,ind,84083.0,103.2,12.9,152384.975
131,VA,507.34924639999997,1.812316104,8.455820774,8,Residential,res,17.2,11.3,1.4,31.17183699
132,VT,824.8675357000001,2.618807957,13.74779226,8,Small_C&I,com,4690.0,2138.1,267.3,12282.20932
133,VT,824.8675357000001,2.618807957,13.74779226,8,Medium_and_Large_C&I,ind,84083.0,103.2,12.9,220197.2295
134,VT,824.8675357000001,2.618807957,13.74779226,8,Residential,res,17.2,11.3,1.4,45.04349686
135,WA,270.3687335,1.211754519,4.506145558,4,Small_C&I,com,1880.0,857.1,214.3,2278.0984949999997
136,WA,270.3687335,1.211754519,4.506145558,4,Medium_and_Large_C&I,ind,39458.0,48.4,12.1,47813.40979
137,WA,2280.0,1.211754519,38.0,38,Residential,res,380.0,6.2,1.6,460.46671722
138,WI,122.77055459999998,0.8062202070000001,2.04617591,1,Small_C&I,com,647.0,295.0,295.0,521.6244742
139,WI,122.77055459999998,0.8062202070000001,2.04617591,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,14353.94457
140,WI,122.77055459999998,0.8062202070000001,2.04617591,1,Residential,res,5.1,3.3,3.3,4.111723058
141,WV,739.6686477999999,2.645535638,12.3278108,8,Small_C&I,com,4690.0,2138.1,267.3,12407.56214
142,WV,739.6686477999999,2.645535638,12.3278108,8,Medium_and_Large_C&I,ind,84083.0,103.2,12.9,222444.5731
143,WV,739.6686477999999,2.645535638,12.3278108,8,Residential,res,17.2,11.3,1.4,45.50321298
144,WY,136.70685659999998,1.208523618,2.278447609,1,Small_C&I,com,647.0,295.0,295.0,781.914781
145,WY,136.70685659999998,1.208523618,2.278447609,1,Medium_and_Large_C&I,ind,17804.0,21.8,21.8,21516.5545
146,WY,136.70685659999998,1.208523618,2.278447609,1,Residential,res,5.1,3.3,3.3,6.1634704529999995
