Utility Number,Utility Name,State,Ownership Type,NERC Region
219,Alaska Power and Telephone Co,WA,Investor Owned,AK
1579,PUD No 1 of Benton County,WA,Political Subdivision,WECC
1625,Benton Rural Electric Assn,WA,Cooperative,WECC
1723,"Big Bend Electric Coop, Inc",WA,Cooperative,WECC
3295,City of Centralia - (WA),WA,Municipal,WECC
3413,PUD No 1 of Chelan County,WA,Political Subdivision,WECC
3644,PUD No 1 of Clallam County,WA,Political Subdivision,WECC
3660,PUD No 1 of Clark County - (WA),WA,Political Subdivision,WECC
4041,"Columbia Rural Elec Assn, Inc",WA,Cooperative,WECC
4442,PUD No 1 of Cowlitz County,WA,Political Subdivision,WECC
5326,PUD No 1 of Douglas County,WA,Political Subdivision,WECC
5832,Elmhurst Mutual Power & Light Co,WA,Cooperative,WECC
6149,City of Ellensburg - (WA),WA,Municipal,WECC
6716,PUD No 1 of Franklin County,WA,Political Subdivision,WECC
7548,PUD No 1 of Grays Harbor County,WA,Political Subdivision,WECC
8699,Inland Power & Light Company,WA,Cooperative,WECC
10393,PUD No 1 of Klickitat County,WA,Political Subdivision,WECC
10627,Lakeview Light & Power,WA,Cooperative,WECC
10944,PUD No 1 of Lewis County,WA,Political Subdivision,WECC
12744,Modern Electric Water Company,WA,Cooperative,WECC
14055,PUD No 1 of Okanogan County,WA,Political Subdivision,WECC
14170,Orcas Power & Light Coop,WA,Cooperative,WECC
14324,PUD No 2 of Pacific County,WA,Political Subdivision,WECC
14624,PUD No 2 of Grant County,WA,Political Subdivision,WECC
14653,PUD No 1 of Pend Oreille County,WA,Political Subdivision,WECC
14668,Peninsula Light Company,WA,Cooperative,WECC
15231,City of Port Angeles - (WA),WA,Municipal,WECC
15419,PUD No 3 of Mason County,WA,Political Subdivision,
15500,Puget Sound Energy Inc,WA,Investor Owned,WECC
15979,City of Richland - (WA),WA,Municipal,WECC
16868,City of Seattle - (WA),WA,Municipal,WECC
17470,PUD 1 of Snohomish County,WA,Political Subdivision,WECC
18429,City of Tacoma - (WA),WA,Municipal,WECC
19784,Vera Irrigation District #15,WA,Political Subdivision,WECC
20160,Energy Northwest,WA,State,WECC
20169,Avista Corp,WA,Investor Owned,WECC
40456,PUD No 1 of Whatcom County,WA,Political Subdivision,WECC
59013,PUD No 1 of Jefferson County,WA,Political Subdivision,
