Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region
2022,232,City of Albemarle - (NC),NC,Municipal,SERC
2022,240,Albemarle Electric Member Corp,NC,Cooperative,SERC
2022,719,Town of Apex- (NC),NC,Municipal,SERC
2022,1889,Blue Ridge Elec Member Corp - (NC),NC,Cooperative,SERC
2022,3046,Duke Energy Progress - (NC),NC,Investor Owned,SERC
2022,3107,Carteret-Craven El Member Corp,NC,Cooperative,SERC
2022,3250,Central Electric Membership Corp. - (NC),NC,Cooperative,SERC
2022,4150,City of Concord - (NC),NC,Municipal,SERC
2022,5416,"Duke Energy Carolinas, LLC",NC,Investor Owned,SERC
2022,5656,Edgecombe-Martin County E M C,NC,Cooperative,SERC
2022,5760,City of Elizabeth City - (NC),NC,Municipal,SERC
2022,6235,Fayetteville Public Works Commission,NC,Municipal,SERC
2022,6640,Four County Elec Member Corp,NC,Cooperative,SERC
2022,6784,French Broad Elec Member Corp,NC,Cooperative,SERC
2022,7027,City of Gastonia - (NC),NC,Municipal,SERC
2022,7639,Greenville Utilities Comm,NC,Municipal,SERC
2022,8333,Haywood Electric Member Corp,NC,Cooperative,SERC
2022,8571,Town of High Point,NC,Municipal,SERC
2022,9087,Town of Huntersville - (NC),NC,Municipal,SERC
2022,9837,Jones-Onslow Elec Member Corp,NC,Cooperative,SERC
2022,10345,City of Kinston - (NC),NC,Municipal,SERC
2022,10966,City of Lexington - (NC),NC,Municipal,SERC
2022,11291,Lumbee River Elec Member Corp,NC,Cooperative,SERC
2022,11318,City of Lumberton - (NC),NC,Municipal,SERC
2022,12801,City of Monroe - (NC),NC,Municipal,SERC
2022,12944,City of Morganton - (NC),NC,Municipal,SERC
2022,13416,City of New Bern - (NC),NC,Municipal,SERC
2022,13482,New River Light & Power Co,NC,State,SERC
2022,13630,North Carolina Mun Power Agny #1,NC,Municipal Mktg Authority,SERC
2022,13683,North Carolina El Member Corp,NC,Cooperative,SERC
2022,13687,North Carolina Eastern M P A,NC,Municipal Mktg Authority,SERC
2022,14717,Pee Dee Electric Member Corp,NC,Cooperative,SERC
2022,15023,Piedmont Electric Member Corp,NC,Cooperative,SERC
2022,15671,Randolph Electric Member Corp,NC,Cooperative,SERC
2022,16101,Roanoke Electric Member Corp,NC,Cooperative,SERC
2022,16226,City of Rocky Mount - (NC),NC,Municipal,
2022,16496,Rutherford Elec Member Corp,NC,Cooperative,SERC
2022,17572,South River Elec Member Corp,NC,Cooperative,SERC
2022,18022,City of Statesville - (NC),NC,Municipal,SERC
2022,18339,Surry-Yadkin Elec Member Corp,NC,Cooperative,SERC
2022,18466,Town of Tarboro - (NC),NC,Municipal,SERC
2022,18957,Tri-County Elec Member Corp (NC),NC,Cooperative,SERC
2022,19108,Tideland Electric Member Corp,NC,Cooperative,
2022,19435,Union Electric Membership Corp - (NC),NC,Cooperative,SERC
2022,19981,Wake Electric Membership Corp,NC,Cooperative,SERC
2022,20142,City of Washington - (NC),NC,Municipal,SERC
2022,20785,City of Wilson,NC,Municipal,SERC
2022,21632,EnergyUnited Elec Member Corp,NC,Cooperative,SERC
2022,24889,Brunswick Electric Member Corp,NC,Cooperative,SERC
2022,40441,Town of Murphy - (NC),NC,Municipal,SERC
2022,57486,"XOOM Energy Texas, LLC",NC,Retail Power Marketer,
2022,57487,"XOOM Energy Connecticut, LLC",NC,Retail Power Marketer,
2022,57488,"XOOM Energy Illinois, LLC",NC,Retail Power Marketer,
2022,57489,"XOOM Energy Massachusetts, LLC",NC,Retail Power Marketer,
2022,57490,"XOOM Energy Maryland, LLC",NC,Retail Power Marketer,
2022,57491,"XOOM Energy New Jersey, LLC",NC,Retail Power Marketer,
2022,58339,"XOOM Energy Pennsylvania, LLC",NC,Retail Power Marketer,
2022,58367,"XOOM Energy New York, LLC",NC,Retail Power Marketer,
2022,58630,"XOOM Energy Maine, LLC",NC,Retail Power Marketer,
2022,58631,"XOOM Energy Rhode Island, LLC",NC,Retail Power Marketer,
2022,58632,"XOOM Energy Delaware, LLC",NC,Retail Power Marketer,
2022,58633,"XOOM Energy New Hampshire, LLC",NC,Retail Power Marketer,
2022,59311,"XOOM Energy Ohio, LLC",NC,Retail Power Marketer,
2022,59312,"XOOM Energy Washington DC, LLC",NC,Retail Power Marketer,
2022,60084,OE Holdings,NC,Wholesale Power Marketer,
